"범죄별(1)",범죄별(2),범죄별(3),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
"특별법범",외국환거래법,소계,93,16,-,1,-,4,3,3,5,77,-,2,2,17,2,7,47
"특별법범",의료법,소계,1932,502,13,29,33,168,57,80,122,1430,9,17,15,165,114,167,943
"특별법범",자동차관리법,소계,10782,1137,56,70,90,245,164,141,371,9645,57,115,190,951,752,971,6609
"특별법범",자동차손해배상보장법,소계,3556,803,43,62,66,219,102,102,209,2753,47,85,90,486,286,352,1407
"특별법범",저작권법,소계,1133,201,19,19,21,68,19,22,33,932,9,13,23,102,68,93,624
"특별법범",전자금융거래법,소계,7396,968,47,79,104,344,112,112,170,6428,60,108,179,866,529,752,3934
"특별법범",정보통신망이용촉진 및 정보보호 등에 관한법률,소계,3002,499,33,50,64,166,41,66,79,2503,43,68,100,449,239,284,1320
"특별법범",조세범 처벌법,소계,1531,180,5,9,14,65,20,35,32,1351,22,21,49,226,140,196,697
"특별법범",주민등록법,소계,754,200,16,33,19,72,30,24,6,554,19,33,35,105,62,65,235
"특별법범",청소년보호법,소계,3300,745,23,32,61,160,91,92,286,2555,11,25,58,178,156,241,1886
"특별법범",축산물위생관리법,소계,89,17,-,1,-,4,-,1,11,72,1,-,3,12,3,9,44
"특별법범",출입국관리법,소계,1164,178,2,9,16,70,26,30,25,986,9,19,30,145,89,107,587
"특별법범",통신비밀보호법,소계,82,3,-,-,1,1,-,1,-,79,1,2,-,11,5,7,53
"특별법범",특가법(도주차량),소계,4530,881,17,35,47,122,87,104,469,3649,48,84,103,407,341,422,2244
"특별법범",폐기물관리법,소계,1429,387,20,42,33,171,38,43,40,1042,3,20,25,182,97,130,585
"특별법범",풍속영업의 규제에 관한법률,소계,82,39,-,3,3,9,11,5,8,43,1,-,-,2,1,9,30
"특별법범",학원의설립운영및과외교습에관한법률,소계,100,11,-,-,-,3,-,2,6,89,1,-,-,5,7,8,68
"특별법범",화물자동차운수사업법,소계,1234,236,6,17,11,63,42,29,68,998,2,5,13,57,46,83,792
"특별법범",기타 특별법,소계,36681,8437,172,360,470,2024,1118,1166,3127,28244,291,732,874,4168,2651,3223,16305
