"범죄별(1)",범죄별(2),범죄별(3),나이
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21세,22세,23세,24세,25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~70세,71세이상,소계
"특별법범",자본시장과금융투자업에관한법률,소계,756,-,-,-,-,-,-,605,-,1,4,-,2,4,6,87,71,87,80,110,78,44,24,7,151
"특별법범",저작권법,소계,7212,78,5,4,14,18,37,5674,31,42,33,41,60,58,56,561,754,926,843,814,596,499,308,52,1460
"특별법범",전자금융거래법,소계,15198,125,2,7,22,41,53,14897,276,347,317,366,453,433,410,1847,1617,1881,1661,1735,1500,1112,831,111,176
"특별법범",전파법,소계,410,-,-,-,-,-,-,401,-,-,-,1,1,2,2,32,43,84,64,62,45,32,29,4,9
"특별법범",정보통신망이용촉진및정보보호등에관한법률,소계,16229,840,128,175,165,179,193,13675,202,271,258,307,323,346,346,1959,1628,1826,1409,1507,1184,1054,887,168,1714
"특별법범",조세범처벌법,소계,4139,-,-,-,-,-,-,3988,-,2,1,4,5,14,6,128,229,470,606,728,643,541,469,142,151
"특별법범",주민등록법,소계,2600,1109,43,132,234,427,273,1416,37,16,18,15,14,18,16,97,117,173,199,184,169,146,143,54,75
"특별법범",주차장법,소계,145,-,-,-,-,-,-,145,-,-,-,-,-,-,-,-,7,14,19,10,16,21,25,33,-
"특별법범",주택법,소계,1921,-,-,-,-,-,-,1872,-,-,1,2,-,9,10,65,103,220,250,340,351,244,228,49,49
"특별법범",직업안정법,소계,412,-,-,-,-,-,-,393,-,1,1,2,2,-,2,32,37,66,51,56,72,41,29,1,19
"특별법범",집회및시위에관한법률,소계,526,-,-,-,-,-,-,501,1,2,6,10,4,3,1,17,27,44,52,106,92,64,56,16,25
"특별법범",청소년보호법,소계,9711,631,15,58,138,209,211,9067,221,167,162,175,177,148,121,527,446,608,689,1016,1460,1441,1338,371,13
"특별법범",총포·도검·화약류등의안전관리에관한법률,소계,463,10,1,-,1,5,3,450,3,6,-,3,6,1,7,23,20,39,56,71,72,43,72,28,3
"특별법범",최저임금법,소계,462,-,-,-,-,-,-,453,-,-,-,-,-,1,-,12,19,66,51,71,68,64,67,34,9
"특별법범",축산물위생관리법,소계,342,-,-,-,-,-,-,337,-,-,-,-,-,-,1,7,13,54,37,60,48,55,50,12,5
"특별법범",출입국관리법,소계,3862,16,-,-,-,2,14,3769,75,48,68,64,76,94,106,513,489,502,461,442,328,280,200,23,77
"특별법범",통신비밀보호법,소계,367,3,2,1,-,-,-,340,-,1,1,-,1,4,2,18,38,61,44,55,45,46,22,2,24
"특별법범",특가법(도주차량),소계,9902,191,17,30,34,47,63,9645,72,96,90,107,138,151,197,973,842,874,849,965,1116,1204,1431,540,66
"특별법범",특허법,소계,349,-,-,-,-,-,-,299,-,-,1,-,-,-,2,8,14,30,51,51,52,36,49,5,50
"특별법범",폐기물관리법,소계,2930,-,-,-,-,-,-,2813,-,1,-,-,1,2,3,48,101,225,271,419,556,591,497,98,117
"특별법범",풍속영업의규제에관한법률,소계,112,-,-,-,-,-,-,111,1,1,-,1,-,-,-,6,5,15,11,22,13,20,12,4,1
"특별법범",하천법,소계,277,-,-,-,-,-,-,277,-,-,-,1,-,-,-,4,2,16,13,16,28,60,95,42,-
"특별법범",학교보건법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",학원의설립운영및과외교습에관한법률,소계,442,-,-,-,-,-,-,440,-,1,1,-,4,6,5,36,37,77,98,79,47,27,18,4,2
"특별법범",화물자동차운수사업법,소계,2301,-,-,-,-,-,-,2296,-,-,2,2,7,14,19,83,107,222,322,381,418,365,290,64,5
"특별법범",화재로인한재해보상과보험가입에관한법률,소계,21,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,1,2,4,3,1,7,1,2
"특별법범",화재예방·소방시설설치유지및안전관리에관한법률,소계,752,-,-,-,-,-,-,746,-,-,-,1,-,-,-,17,20,34,50,87,122,132,188,95,6
"특별법범",화학물질관리법,소계,929,26,6,5,4,3,8,892,20,24,22,34,25,42,33,75,46,65,77,102,115,107,88,17,11
"특별법범",기타특별법,소계,49502,385,35,54,52,113,131,47467,487,523,571,587,741,764,781,4050,3670,4608,4680,5926,6320,6278,5885,1596,1650
